"fund_month","state","term","rate","systemsize_bin","programfee_bin","total_funded_loans","total_serv_loans","delinquency_bin","loans_by_delinquency","loans_prv_delinquency","roll_rate_pct"
"201909","AZ",7,"7.99","13+","06-10","1","1","001-030","1","1","100.00"
"201909","FL",20,"3.99","05-08","16-20","2","2","001-030","1","2","50.00"
"201909","FL",20,"3.99","05-08","16-20","2","2","031-060","1","1","100.00"
"201909","MD",20,"3.99","05-08","16-20","2","2","001-030","1","2","50.00"
"201909","TX",20,"3.99","05-08","16-20","16","16","031-060","1","16","6.25"
"201909","TX",20,"3.99","05-08","16-20","16","16","061-090","1","1","100.00"
"201909","TX",20,"3.99","05-08","16-20","16","16","091-120","1","1","100.00"
"201909","TX",20,"3.99","05-08","16-20","16","16","121-150","1","1","100.00"
"201910","AZ",20,"4.99","09-12","11-15","2","2","001-030","1","2","50.00"
"201910","CA",20,"3.99","09-12","16-20","7","7","001-030","1","7","14.29"
"201910","CA",20,"3.99","09-12","16-20","7","7","031-060","1","1","100.00"
"201910","CA",20,"3.99","09-12","16-20","7","7","061-090","1","1","100.00"
"201910","CA",20,"3.99","09-12","16-20","7","7","091-120","1","1","100.00"
"201910","NV",20,"2.99","09-12","21-25","4","4","001-030","1","4","25.00"
"201910","NV",20,"2.99","09-12","21-25","4","4","031-060","1","1","100.00"
"201910","NV",20,"2.99","09-12","21-25","4","4","061-090","1","1","100.00"
"201910","NV",20,"2.99","09-12","21-25","4","4","091-120","1","1","100.00"
"201910","TX",20,"3.99","09-12","16-20","8","8","001-030","1","8","12.50"
"201910","TX",20,"3.99","09-12","16-20","8","8","031-060","1","1","100.00"
"201911","CO",10,"3.99","05-08","06-10","2","2","001-030","1","2","50.00"
"201911","FL",20,"2.99","09-12","21-25","3","3","001-030","1","3","33.33"
"201911","FL",25,"3.99","09-12","16-20","3","3","001-030","1","3","33.33"
"201911","NV",20,"2.99","05-08","21-25","5","5","001-030","1","5","20.00"
"201911","NV",20,"2.99","05-08","21-25","5","5","031-060","1","1","100.00"
"201911","NY",20,"4.99","05-08","11-15","1","1","001-030","1","1","100.00"
"201911","NY",20,"4.99","05-08","11-15","1","1","031-060","1","1","100.00"
"201911","NY",20,"4.99","05-08","11-15","1","1","061-090","1","1","100.00"
"201911","TX",20,"3.99","05-08","16-20","11","11","001-030","1","11","9.09"
"201912","AZ",20,"3.99","09-12","16-20","2","2","001-030","1","2","50.00"
"201912","AZ",25,"4.49","05-08","16-20","2","2","001-030","1","2","50.00"
"201912","TX",20,"3.99","05-08","16-20","14","14","001-030","1","14","7.14"
"201912","TX",20,"3.99","05-08","16-20","14","14","031-060","1","1","100.00"
"202001","CA",25,"3.99","05-08","21-25","1","1","001-030","1","1","100.00"
"202001","TX",20,"5.99","05-08","11-15","3","3","001-030","1","3","33.33"
